Factory,Value Stream,Stage/Product Line/SL,Component,Path,Create Date
BaP,HDEV6,/01_Instructions/,ifsys FC2000,D:/vdServerArchive/Ba/HDEV6/01_Instructions/ARCHIVE/ifsys FC2000/20190522.000,2019-05-22,3.291076
BaP,HDEV6,/01_Instructions/,MGuard,D:/vdServerArchive/Ba/HDEV6/01_Instructions/ARCHIVE/MGuard/20190515.000,2019-05-15,3.310242
BaP,HDEV6,/01_Instructions/,observation cameras,D:/vdServerArchive/Ba/HDEV6/01_Instructions/ARCHIVE/observation cameras/20190404.000,2019-04-04,3.4225
BaP,HDEV6,/01_Instructions/,VPB40.4 - VDP40.3,D:/vdServerArchive/Ba/HDEV6/01_Instructions/ARCHIVE/VPB40.4 - VDP40.3/20190515.000,2019-05-15,3.310242
BaP,HDEV6,/10_Load/SL01/010/,E-Plan_M4896,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/ARCHIVE/E-Plan_M4896/20200325.000,2020-03-25,2.447772
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/,PLC,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/ARCHIVE/PLC/20180619.000,2018-06-19,4.213782
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/,PLC,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/ARCHIVE/PLC/20181007.000,2018-10-07,3.912602
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/,PLC,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/ARCHIVE/PLC/20181009.000,2018-10-09,3.907126
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/,PLC,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/ARCHIVE/PLC/20181105.000,2018-11-05,3.8332
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/,PLC,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/ARCHIVE/PLC/20190806.001,2019-08-06,3.082988
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/,PLC,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/ARCHIVE/PLC/20200415.000,2020-04-15,2.390274
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/,PLC,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/ARCHIVE/PLC/20200506.000,2020-05-06,2.332776
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/,PLC,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/ARCHIVE/PLC/20201008.000,2020-10-08,1.908386
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/,PLC,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/ARCHIVE/PLC/20201008.001,2020-10-08,1.908386
