"Component";"ComponentId";"ComponentTypeId";"ComponentTypeName";"JobId";"JobName";"UploadClass";"WhoToNotify";"WhoToNotifyNames";"WhoToNotifyEMails";"WhoToNotifyAdditional";"Execution";"IpOrComputerName";"UploadAgent";"CompareAgent";"LastCheck (local)";"LastCheck (UTC)";"NextStart (local)";"NextStart (UTC)";"JobStart (local)";"JobStart (UTC)";"JobFinish (local)";"JobFinish (UTC)";"ResultVersionVsBackup";"WarningVersionVsBackup";"ErrorVersionVsBackup";"ResultBackupVsPreBackups";"WarningBackupVsPreBackup";"ErrorBackupVsPreBackup";"DirBackup";"TimestampBackup (local)";"TimestampBackup (UTC)";"DirPreBackup";"TimestampPreBackup (local)";"TimestampPreBackup (UTC)";"OutOfDate";"VersionVsBackupVersionNumber";"DeactivatedComment"
"\BMB\HDEV6\540\Staeubli_A120A740";"786D6764241E453CAF805DC340B74070";"899CB500D3684F61872B56F71BD11F38";"Stäubli CS8C (SRS TransferManager Skript)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\OPCON_000A620\RobotData\Wp105A740";"7979B63FB8334E93AE3B9396D5C6BB13";"D4C4519D18464CEC967780EC04E48158";"RobotData";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\35_StackA\SL01\510\Sistema";"7B4D64EF055C4005BBCE9E244D1B6249";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\250\Staeubli_B170A740";"7B7A3995BF804B7A8C9927E3331F985E";"899CB500D3684F61872B56F71BD11F38";"Stäubli CS8C (SRS TransferManager Skript)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\42_Subst\Sichtpruefen_Ofenbereich\E-Plan_MAE0001W2788";"7DDDFCB50BAD4566AA15B25A525629A4";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Sistema";"7E8372BDD9574F60A0B237993C1929FC";"EC6104915E944C579D9009F521991C6E";"Document_l(D)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\IndraDrive_103A712";"8053256E43B249C0A2B3744FFF63EB0B";"B4C165C587D24B57874A09F0BB119986";"IndraDrive";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Staeubli_CS9_105A740";"81982338E4F445B788B8984EF17F3B4C";"7337C18E1DB446D0AE49C1ABB753D669";"Stäubli CS9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\60\(_302196218_MAE0001W2795-60_BaP-TEF_FCEV-MEA-LVL-SL01-St60_)";"838EF09F5FE94CF8B02BC88DC2F5D7EF";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\30\Validierung";"852638DA2A014F249673FE99CBD81234";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\43_Coupon\140\Handling\Delivery_doc_with_elemements\Delivery_documentation\07_Inspection_documents_certificates\Sicherheitsvalidierung";"8539DC5B803844F0A7519C1763883B32";"1E29C6CDBF5A4085AA21C0A0D3F8CFAD";"PDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\OPCON_000A620\StabiData\StabiData";"869671EC0D0E4C23AA55CA851201703C";"56C7E3817715414EB1772B1FAE3A1A54";"SettingData";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\20\(_302195855_MAE0001W2795-20_BaP-TEF_FCEV-MEA-LVL-SL01-St20_)";"8763C3A30E7E4C12B558ADEED4F86B72";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\40_Repeat\420\BA302173477_O1003_TruLaser Cell 3000";"8B3D1A57FB0149319DD1C15D18004778";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\230\Staeubli_C120A740";"8E17DE1A755E43458FBA7DC7241DEA94";"899CB500D3684F61872B56F71BD11F38";"Stäubli CS8C (SRS TransferManager Skript)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\AOI-Cell_RBCD-1\Delivery_documentation\07_Inspection_documents_certificates\DGUV_protocol";"8F8D985A52054B109E29D44C97B09AFE";"1E29C6CDBF5A4085AA21C0A0D3F8CFAD";"PDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\35_StackA\SL01\510\302176171_O1005_Stacker-FCEV";"9002CA3DDA414712B0834E64A5CC075D";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\220\PLC_000A620";"90256FD5D8B34D969C4E94973348B20C";"44EF6F4AC8FE4F05AB06EABDF1373431";"OpConplus_OES4.x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\36_Test\SL01\TEF_100W_1\EPLAN P8";"90E3D84C82F743B6ADD83272B22C4F90";"3E8D36E2622C4FF696EC7BE6276A7AA1";"EPLAN P8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Safety_Validation";"91A477EE9EDB4FAAACB1C2DEE3294A11";"EC6104915E944C579D9009F521991C6E";"Document_l(D)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\BPP-Montage\Laser-Welding\20\MX_0190W001_Bap_Laser-Welding";"930188D9E7314A93B479095FD4BC7440";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\41_Conn\Bestuecken_Maske\E-Plan_MAE0001W2793";"958795FAF4C74529A034A4E8AF812F31";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\42_Subst\400\E-Plan_MAE0001W2790";"9A4F690BBFE64B31B5A89CFE3280E87F";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\20\Safety_Validation_MAE0001W2795-20";"9AFD91244A3942C1A95A5376BF3CDCAA";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\41_Conn\Entstuecken_Maske\E-Plan_MAE0001W2794";"9BABCE0972714C82811D72F9909BFB0F";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\35_StackA\SL01\FCEV_Teilebereitstellungsplatz1\EPLAN P8";"9F508584D2D34C0EA330759F0BBE8BC8";"3E8D36E2622C4FF696EC7BE6276A7AA1";"EPLAN P8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Delivery_documentation\09_Documents_BaP\PDF";"9F6726DBB0404B39B8AC60CB383705B4";"1E29C6CDBF5A4085AA21C0A0D3F8CFAD";"PDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\10\(_302195854_MAE0001W2795-10_Spilker_FCEV-MEA-LVL-SL01-St10_)";"9F748FC8FE1342DDBC7E499AB1D492C3";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Nozzle\11_Soft\70\200\Sistema";"A0FC6E2261F345C9AFE9C67EAD81DC9A";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\43_Coupon\161\Test2\EPLAN_O1008";"A371189325E74955935E45353B331196";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\10\Eplan_MAE0001W2805";"A3711C9270BC4B68B0132FBB7EDF611F";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Teilebereitstellungsplatz2\EPLAN P8";"A3B3A0828454492D97B4D9363DDA0EA2";"3E8D36E2622C4FF696EC7BE6276A7AA1";"EPLAN P8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
