"Component id";"Component type";"Session id";"Timestamp (local)";"Timestamp (UTC)";"Directory";"Name";"Command";"User name";"User id";"Computer name";"Version";"Version timestamp (local)";"Version timestamp (UTC)";"Message";"Comment";"Server name"
"8F265C4A2A534008B363C16B22331FA2";"TruMark";"D753AE961B184CBAAACF312EC83B145C";"2021-04-17T23:55:02+0200";"2021-04-17T21:55:02Z";"\HDEV6\15_Final\SL10\580";"TruMark_A104A760";"Version";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"14";"2021-04-17T23:54:55+0200";"2021-04-17T21:54:55Z";"";"";"EMEA.BU4PTEFAPP04"
"8F265C4A2A534008B363C16B22331FA2";"TruMark";"D753AE961B184CBAAACF312EC83B145C";"2021-04-17T23:55:02+0200";"2021-04-17T21:55:02Z";"\HDEV6\15_Final\SL10\580";"TruMark_A104A760";"Check-In";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"14";"2021-04-17T23:54:55+0200";"2021-04-17T21:54:55Z";"";"";"EMEA.BU4PTEFAPP04"
"11D84F105B4C461A9457699F3770370A";"TruMark";"0C6B2DED6422465B933CDABF5C8C5B16";"2021-04-17T23:54:44+0200";"2021-04-17T21:54:44Z";"\HDEV6\15_Final\SL10\580";"TruMark_A102A760";"Version";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"15";"2021-04-17T23:54:37+0200";"2021-04-17T21:54:37Z";"";"";"EMEA.BU4PTEFAPP04"
"11D84F105B4C461A9457699F3770370A";"TruMark";"0C6B2DED6422465B933CDABF5C8C5B16";"2021-04-17T23:54:44+0200";"2021-04-17T21:54:44Z";"\HDEV6\15_Final\SL10\580";"TruMark_A102A760";"Check-In";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"15";"2021-04-17T23:54:37+0200";"2021-04-17T21:54:37Z";"";"";"EMEA.BU4PTEFAPP04"
"BF6F4A3A016245838719EB1AD625FCA0";"TruMark";"9637BC2FE7F14D7485FC2FD6CE4E76A4";"2021-04-17T23:54:07+0200";"2021-04-17T21:54:07Z";"\HDEV6\15_Final\SL06\580";"TruMark_A104A760";"Version";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"37";"2021-04-17T23:53:58+0200";"2021-04-17T21:53:58Z";"";"";"EMEA.BU4PTEFAPP04"
"BF6F4A3A016245838719EB1AD625FCA0";"TruMark";"9637BC2FE7F14D7485FC2FD6CE4E76A4";"2021-04-17T23:54:07+0200";"2021-04-17T21:54:07Z";"\HDEV6\15_Final\SL06\580";"TruMark_A104A760";"Check-In";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"37";"2021-04-17T23:53:58+0200";"2021-04-17T21:53:58Z";"";"";"EMEA.BU4PTEFAPP04"
"06A819FFFBA7432E8066AEB2DECC6608";"TruMark";"186B33B8394C49BFA79779E148BE25B7";"2021-04-17T23:53:39+0200";"2021-04-17T21:53:39Z";"\HDEV6\15_Final\SL06\580";"TruMark_A102A760";"Version";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"35";"2021-04-17T23:53:30+0200";"2021-04-17T21:53:30Z";"";"";"EMEA.BU4PTEFAPP04"
"06A819FFFBA7432E8066AEB2DECC6608";"TruMark";"186B33B8394C49BFA79779E148BE25B7";"2021-04-17T23:53:39+0200";"2021-04-17T21:53:39Z";"\HDEV6\15_Final\SL06\580";"TruMark_A102A760";"Check-In";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"35";"2021-04-17T23:53:30+0200";"2021-04-17T21:53:30Z";"";"";"EMEA.BU4PTEFAPP04"
"11D84F105B4C461A9457699F3770370A";"TruMark";"8F7140BF5AC14ACB85C7B6B79F44BC67";"2021-04-17T23:38:00+0200";"2021-04-17T21:38:00Z";"\HDEV6\15_Final\SL10\580";"TruMark_A102A760";"Check-Out";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"14";"2021-03-06T16:52:18+0100";"2021-03-06T15:52:18Z";"";"";"EMEA.BU4PTEFAPP04"
"06A819FFFBA7432E8066AEB2DECC6608";"TruMark";"103E2E5AEABF4162A2B2EA9A65660C1B";"2021-04-17T23:37:57+0200";"2021-04-17T21:37:57Z";"\HDEV6\15_Final\SL06\580";"TruMark_A102A760";"Check-Out";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"34";"2021-04-05T02:47:17+0200";"2021-04-05T00:47:17Z";"";"";"EMEA.BU4PTEFAPP04"
"8F265C4A2A534008B363C16B22331FA2";"TruMark";"3989421DE31944BF9EF7CFB9D5F7D36F";"2021-04-17T23:37:54+0200";"2021-04-17T21:37:54Z";"\HDEV6\15_Final\SL10\580";"TruMark_A104A760";"Check-Out";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"13";"2021-01-07T22:48:17+0100";"2021-01-07T21:48:17Z";"";"";"EMEA.BU4PTEFAPP04"
"BF6F4A3A016245838719EB1AD625FCA0";"TruMark";"9DF1A22F7F5749EABADAFE6AD57D50E0";"2021-04-17T23:37:51+0200";"2021-04-17T21:37:51Z";"\HDEV6\15_Final\SL06\580";"TruMark_A104A760";"Check-Out";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"36";"2021-04-05T02:48:36+0200";"2021-04-05T00:48:36Z";"";"";"EMEA.BU4PTEFAPP04"
"9908233514904B56BCE6F1CEDD3A9ED0";"Keyence Proxsys";"FE830C9C3CE34DDF8DFDAF7076710DDD";"2021-04-17T23:36:02+0200";"2021-04-17T21:36:02Z";"\HDEV6\15_Final\SL10\580";"Keyence_C133A860";"Version";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"6";"2021-04-17T23:35:48+0200";"2021-04-17T21:35:48Z";"";"";"EMEA.BU4PTEFAPP04"
"9908233514904B56BCE6F1CEDD3A9ED0";"Keyence Proxsys";"FE830C9C3CE34DDF8DFDAF7076710DDD";"2021-04-17T23:36:02+0200";"2021-04-17T21:36:02Z";"\HDEV6\15_Final\SL10\580";"Keyence_C133A860";"Check-In";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"6";"2021-04-17T23:35:48+0200";"2021-04-17T21:35:48Z";"";"";"EMEA.BU4PTEFAPP04"
"9908233514904B56BCE6F1CEDD3A9ED0";"Keyence Proxsys";"2CA146E0DE6840B99D9CA21CEFE81DCA";"2021-04-17T23:34:15+0200";"2021-04-17T21:34:15Z";"\HDEV6\15_Final\SL10\580";"Keyence_C133A860";"Check-Out";"";"A30EE3A096534FB99FE62185A2236298";"EMEA.BU1Z5603";"5";"2021-04-14T10:16:13+0200";"2021-04-14T08:16:13Z";"";"";"EMEA.BU4PTEFAPP04"
"7AAFD4A3CCB649FF81A0A176AA422A3E";"Stäubli CS8C (SRS TransferManager Skript)";"87E7D15D01EA425A9D0F565BB7230A55";"2021-04-17T12:17:36+0200";"2021-04-17T10:17:36Z";"\DLL\HDEV5\DLL9";"Robot_Stat010_130A740";"Version";"VersionDog";"7F9407984441471394811224B8CD5FE7";"US.CHVMHDEV6VD";"23";"2021-04-17T12:17:32+0200";"2021-04-17T10:17:32Z";"";"";"US.CHVMHDEV6VD"
"7AAFD4A3CCB649FF81A0A176AA422A3E";"Stäubli CS8C (SRS TransferManager Skript)";"87E7D15D01EA425A9D0F565BB7230A55";"2021-04-17T12:17:36+0200";"2021-04-17T10:17:36Z";"\DLL\HDEV5\DLL9";"Robot_Stat010_130A740";"Check-In";"";"";"US.CHVMHDEV6VD";"23";"2021-04-17T12:17:32+0200";"2021-04-17T10:17:32Z";"";"";"US.CHVMHDEV6VD"
"7AAFD4A4CCB649FF81A0A176AA422A3E";"Stäubli CS8C (SRS TransferManager Skript)";"5A99C7239A504AC6957D702225F37092";"2021-04-17T12:17:26+0200";"2021-04-17T10:17:26Z";"\DLL\HDEV5\DLL9";"Robot_Stat010_130A740";"Check-Out";"";"";"US.CHVMHDEV6VD";"22";"2021-04-12T12:05:07+0200";"2021-04-12T10:05:07Z";"";"";"US.CHVMHDEV6VD"
